Time (s),Average Pressure (Pa),C1 Composition (1),C2 Composition (1),C3 Composition (1),C4 Composition (1),C5 Composition (1),C6 Composition (1),Liquid Saturation (1)
83250000,4149928.785,0.490704802,0.134872559,0.097108833,0.062940823,0.04026054,0.174112442,0.090338041
95291666.67,3491105.731,0.463323109,0.131702624,0.098566261,0.066681596,0.044175031,0.19555138,0.080652033
107333333.3,2936542.269,0.435109996,0.127856182,0.099533674,0.070366579,0.048306023,0.218827545,0.071815899
119375000,2460838.571,0.406143516,0.123282747,0.099891863,0.073909725,0.05264145,0.2441307,0.061280923
131416666.7,2037856.801,0.377052217,0.118167162,0.099681374,0.0772312,0.057070452,0.270797595,0.000256824
141920565.7,1745665.022,0.351591364,0.113247402,0.09897239,0.079885682,0.060994545,0.295308617,0.00015209
143458333.3,1692712.442,0.348097721,0.112487451,0.098788838,0.080222662,0.061554971,0.298848357,0.000147783
155500000,1460433.758,0.321135474,0.106584837,0.097149266,0.082635058,0.065847892,0.326647475,7.12082E-05
167541666.7,1277539.062,0.294787969,0.10056967,0.095139277,0.084632309,0.069955093,0.354915681,1.35075E-05
179583333.3,1094217.507,0.268938067,0.094238511,0.092548117,0.086185241,0.073977775,0.38411229,1.99465E-06
191625000,845954.767,0.243210394,0.087566522,0.089359266,0.087278173,0.077937937,0.414647708,1.99465E-06
203666666.7,707138.6488,0.219019621,0.080970386,0.085830632,0.087892685,0.081615256,0.444671421,0
215708333.3,639855.1656,0.197683599,0.074800237,0.082137809,0.087965868,0.084798376,0.472614111,0
227750000,485497.9721,0.176657828,0.068535641,0.078085528,0.087629873,0.087832085,0.501259045,0
239791666.7,407806.5717,0.164557737,0.064886772,0.075385115,0.08713028,0.089512887,0.51852721,0
